"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4987","Login with the username: problem_user","chromium","2025-12-14","passed","2025-12-14","Fetching data from json file and logging in","example_mutiple_login.spec.ts","",""
"","5086","Login with the username: visual_user","chromium","2025-12-14","passed","2025-12-14","Fetching data from json file and logging in","example_mutiple_login.spec.ts","",""
"","4782","Login with the username: locked_out_user","chromium","2025-12-14","passed","2025-12-14","Fetching data from json file and logging in","example_mutiple_login.spec.ts","",""
"","4973","Login with the username: standard_user","chromium","2025-12-14","passed","2025-12-14","Fetching data from json file and logging in","example_mutiple_login.spec.ts","",""
"","1403","has title @smoke","chromium","2025-12-21","passed","2025-12-21","","example.spec.ts","",""
"","6","Test to fetch and display random test data @smoke","chromium","2025-12-21","passed","2025-12-21","","exampleRandomTestData.spec.ts","",""
"","5252","has title","chromium","2025-12-14","passed","2025-12-14","","example.spec.ts","",""
"","4","Test to fetch and display random test data","chromium","2025-12-14","passed","2025-12-14","","exampleRandomTestData.spec.ts","",""
"","9309","Login with the username: performance_glitch_user","chromium","2025-12-14","passed","2025-12-14","Fetching data from json file and logging in","example_mutiple_login.spec.ts","",""
"","5021","Login with the username: error_user","chromium","2025-12-14","passed","2025-12-14","Fetching data from json file and logging in","example_mutiple_login.spec.ts","",""
